Date,Open,High,Low,Close,Adj Close,Var.Day(%),Class,Volume
2000-11-27,14340,14495,13941,14008,14008,-2.29,Baixa,0
2000-11-28,14011,14011,13756,13914,13914,-0.67,Baixa,0
2000-11-29,13921,14074,13782,13788,13788,-0.91,Baixa,0
2000-11-30,13779,13779,13287,13287,13287,-3.63,Baixa,0
2000-12-01,13303,13578,13282,13437,13437,1.13,Alta,0
2000-12-04,13396,13538,13242,13510,13510,0.54,Alta,0
2000-12-05,13513,14188,13513,14182,14182,4.97,Alta,0
2000-12-06,14180,14277,13945,13945,13945,-1.67,Baixa,0
2000-12-07,13947,14460,13918,14460,14460,3.69,Alta,0
2000-12-08,14462,15062,14461,14983,14983,3.62,Alta,0
2000-12-11,14991,15355,14991,15188,15188,1.37,Alta,0
2000-12-12,15186,15186,14869,14906,14906,-1.86,Baixa,0
2000-12-13,14916,15389,14900,15291,15291,2.58,Alta,0
2000-12-14,15261,15329,15080,15259,15259,-0.21,Baixa,0
2000-12-15,15253,15253,14833,14988,14988,-1.78,Baixa,0
2000-12-18,15002,15282,14093,15083,15083,0.63,Alta,0
2000-12-19,15085,15415,15085,15336,15336,1.68,Alta,0
2000-12-20,15306,15328,14618,14622,14622,-4.66,Baixa,0
2000-12-21,14727,14958,14461,14505,14505,-0.80,Baixa,0
2000-12-22,14533,14802,14532,14652,14652,1.01,Alta,0
2000-12-26,14663,14851,14659,14795,14795,0.98,Alta,0
2000-12-27,14805,15223,14805,15186,15186,2.64,Alta,0
2000-12-28,15188,15269,15132,15259,15259,0.48,Alta,0
2001-01-02,15242,15621,15174,15425,15425,1.09,Alta,0
2001-01-03,15425,16599,15251,16599,16599,7.61,Alta,0
2001-01-04,16597,16933,16587,16675,16675,0.46,Alta,0
2001-01-05,16679,16888,16380,16410,16410,-1.59,Baixa,0
2001-01-08,16398,16623,16226,16562,16562,0.93,Alta,0
2001-01-09,16566,17096,16566,16976,16976,2.50,Alta,0
2001-01-10,16964,17093,16701,16919,16919,-0.34,Baixa,0
2001-01-11,16908,17045,16797,17024,17024,0.62,Alta,0
2001-01-12,17034,17212,16821,16850,16850,-1.02,Baixa,0
2001-01-15,16858,17038,16858,16963,16963,0.67,Alta,0
2001-01-16,16973,17035,16662,16721,16721,-1.43,Baixa,0
2001-01-17,16748,17255,16745,17191,17191,2.81,Alta,0
2001-01-18,17204,17642,17151,17521,17521,1.92,Alta,0
2001-01-19,17525,17816,17512,17530,17530,0.05,Alta,0
2001-01-22,17548,17578,17297,17392,17392,-0.79,Baixa,0
2001-01-23,17381,17864,17376,17832,17832,2.53,Alta,0
2001-01-24,17849,18022,17698,17772,17772,-0.34,Baixa,0
2001-01-26,17776,17933,17591,17889,17889,0.66,Alta,0
2001-01-29,17906,18023,17704,17883,17883,-0.03,De Lado,0
2001-01-30,17882,17898,17668,17723,17723,-0.89,Baixa,0
2001-01-31,17725,17921,17637,17673,17673,-0.28,Baixa,0
2001-02-01,17670,17673,16977,17039,17039,-3.59,Baixa,0
2001-02-02,17027,17206,16781,16915,16915,-0.73,Baixa,0
2001-02-05,16914,16941,16539,16731,16731,-1.09,Baixa,0
2001-02-06,16734,17017,16734,17007,17007,1.65,Alta,0
2001-02-07,17003,17003,16630,16812,16812,-1.15,Baixa,0
2001-02-08,16814,17279,16814,17243,17243,2.56,Alta,0
2001-02-09,17257,17270,17050,17138,17138,-0.61,Baixa,0
2001-02-12,17163,17234,16883,16917,16917,-1.29,Baixa,0
2001-02-13,16922,17174,16883,17096,17096,1.06,Alta,0
2001-02-14,17078,17286,16890,17120,17120,0.14,Alta,0
2001-02-15,17121,17262,16922,16937,16937,-1.07,Baixa,0
2001-02-16,16934,16950,16100,16259,16259,-4.00,Baixa,0
2001-02-19,16263,16392,16023,16061,16061,-1.22,Baixa,0
2001-02-20,16066,16242,15783,15911,15911,-0.93,Baixa,0
2001-02-21,15909,15909,15568,15594,15594,-1.99,Baixa,0
2001-02-22,15604,15914,15558,15910,15910,2.03,Alta,0
2001-02-23,15920,16223,15831,16158,16158,1.56,Alta,0
2001-02-28,16158,16274,15891,15891,15891,-1.65,Baixa,0
2001-03-01,15891,16439,15875,16417,16417,3.31,Alta,0
2001-03-02,16423,16723,16233,16581,16581,1.00,Alta,0
2001-03-05,16620,16737,16471,16537,16537,-0.27,Baixa,0
2001-03-06,16573,16813,16279,16324,16324,-1.29,Baixa,0
2001-03-07,16329,16430,16223,16395,16395,0.43,Alta,0
2001-03-08,16401,16531,16096,16227,16227,-1.02,Baixa,0
2001-03-09,16233,16248,16018,16123,16123,-0.64,Baixa,0
2001-03-12,16125,16143,15523,15527,15527,-3.70,Baixa,0
2001-03-13,15536,15768,15444,15584,15584,0.37,Alta,0
2001-03-14,15583,15583,15070,15245,15245,-2.18,Baixa,0
2001-03-15,15252,15482,14977,15061,15061,-1.21,Baixa,0
2001-03-16,15076,15356,15047,15237,15237,1.17,Alta,0
2001-03-19,15249,15378,14802,14836,14836,-2.63,Baixa,0
2001-03-20,14854,16429,14854,14903,14903,0.45,Alta,0
2001-03-21,14914,15198,14755,14853,14853,-0.34,Baixa,0
2001-03-22,14847,14847,13761,14067,14067,-5.29,Baixa,0
2001-03-23,14070,14435,13855,14435,14435,2.62,Alta,0
2001-03-26,14443,14912,14443,14712,14712,1.92,Alta,0
2001-03-27,14733,14951,14594,14835,14835,0.84,Alta,0
2001-03-28,14846,14852,14574,14632,14632,-1.37,Baixa,0
2001-03-29,14647,14713,14226,14282,14282,-2.39,Baixa,0
2001-03-30,14292,14438,13922,14438,14438,1.09,Alta,0
2001-04-02,14441,14482,13981,13981,13981,-3.17,Baixa,0
2001-04-03,13988,14001,13664,13737,13737,-1.75,Baixa,0
2001-04-04,13740,14135,13740,13855,13855,0.86,Alta,0
2001-04-05,13865,14482,13865,14443,14443,4.24,Alta,0
2001-04-06,14428,14702,14371,14485,14485,0.29,Alta,0
2001-04-09,14489,14719,14446,14719,14719,1.62,Alta,0
2001-04-10,14725,15097,14725,15048,15048,2.24,Alta,0
2001-04-11,15057,15267,14724,14819,14819,-1.52,Baixa,0
2001-04-12,14811,14969,14490,14969,14969,1.01,Alta,0
2001-04-16,14974,14976,14385,14445,14445,-3.50,Baixa,0
2001-04-17,14443,14555,14223,14337,14337,-0.75,Baixa,0
2001-04-18,14345,15151,14323,14955,14955,4.31,Alta,0
2001-04-19,14956,15017,14420,14431,14431,-3.50,Baixa,0
2001-04-20,14408,14408,13618,13696,13696,-5.09,Baixa,0
2001-04-23,13734,13893,13325,13893,13893,1.44,Alta,0
2001-04-24,13894,14207,13894,14068,14068,1.26,Alta,0
2001-04-25,14062,14223,13785,14163,14163,0.68,Alta,0
2001-04-26,14204,14770,14202,14757,14757,4.19,Alta,0
2001-04-27,14752,15135,14752,14928,14928,1.16,Alta,0
2001-04-30,14944,15210,14838,14918,14918,-0.07,Baixa,0
2001-05-02,14877,14920,14636,14897,14897,-0.14,Baixa,0
2001-05-03,14906,15142,14762,15142,15142,1.64,Alta,0
2001-05-04,15142,15304,15041,15093,15093,-0.32,Baixa,0
2001-05-07,15103,15222,14862,14875,14875,-1.44,Baixa,0
2001-05-08,14861,14958,14656,14747,14747,-0.86,Baixa,0
2001-05-09,14717,14867,14576,14779,14779,0.22,Alta,0
2001-05-10,14796,15117,14796,14993,14993,1.45,Alta,0
2001-05-11,15012,15018,14410,14493,14493,-3.33,Baixa,0
2001-05-14,14499,14507,14104,14237,14237,-1.77,Baixa,0
2001-05-15,14141,14314,14110,14226,14226,-0.08,Baixa,0
2001-05-16,14256,14738,14256,14714,14714,3.43,Alta,0
2001-05-17,14727,15095,14725,14794,14794,0.54,Alta,0
2001-05-18,14848,15012,14800,14884,14884,0.61,Alta,0
2001-05-21,14871,15158,14807,15128,15128,1.64,Alta,0
2001-05-22,15142,15197,14794,14829,14829,-1.98,Baixa,0
2001-05-23,14829,14905,14627,14692,14692,-0.92,Baixa,0
2001-05-24,14694,14834,14431,14523,14523,-1.15,Baixa,0
2001-05-25,14523,14589,14179,14310,14310,-1.47,Baixa,0
2001-05-28,14328,14439,14056,14302,14302,-0.06,Baixa,0
2001-05-29,14302,14489,14301,14454,14454,1.06,Alta,0
2001-05-30,14459,14579,14347,14489,14489,0.24,Alta,0
2001-05-31,14514,14724,14508,14650,14650,1.11,Alta,0
2001-06-01,14654,14792,14409,14792,14792,0.97,Alta,0
2001-06-04,14798,15141,14798,15104,15104,2.11,Alta,0
2001-06-05,15107,15406,15032,15395,15395,1.93,Alta,0
